expression,meaning,sentence_translation
ガス,gas,"The gas was shut off due to the earthquake."
会社,company,"He works for a small company."
社会,society,"This has become a big societal issue."
社員,employee / staff,"He is an excellent employee."
仕方,way / method / means,"I don't know how to download the file."
食事,meal,"Today, I'm having a meal with my boss."
火事,fire / conflagration,"It's a fire. Please call 119."
大事,important / precious,"Take care of yourself."
事故,accident,"He got injured in an accident."
サラリーマン,salaryman / office worker,"My father is an office worker."
工事,construction,"The construction noise is loud."
工場,factory,"He works in a food factory."
電話,telephone / call,"I'll call you later."
電気,electricity / light,"Please turn on the light."
バス,bus,"Let's take the bus."
駅員,station staff / station attendant,"Let's ask the station staff."
通り,street / avenue,"This street is very lively, isn't it?"
通る,to pass / to go through,"I pass through this street every day."
クラス,class,"He traveled in business class."
通う,to commute / to go regularly,"I go to the gym regularly."
交通事故,traffic accident,"He caused a traffic accident."
水道,water supply / tap,"Tokyo's tap water tastes bad."
車道,roadway,"Road construction has started."
トラック,truck,"Can you drive a truck?"
道路,road,"This road was built three years ago."
土地,land,"This is my father's land."
地図,map,"Please check the map before coming."
パーティー,party,"We are hosting a party at our house tomorrow."
止まる,to stop,"This morning, the train stopped due to an accident."
止む,to stop (raining),"The rain has stopped."
歩道,sidewalk,"Let's walk on the sidewalk."
渡す,to hand over,"I handed him the letter."
渡る,to cross,"We walked across the bridge."
年度,fiscal year,"Sales vary by fiscal year."
今度,next time,"Where would you like to go next time?"
ガラス,glass,"I bought a crystal glass vase."
何度,how many times,"I've been to that store many times."
最近,recently,"That's a book that's been talked about a lot recently."
遠く,far away,"You can see a ship in the distance."
社長,president,"My aunt is the president of a small company."
コース,course,"I am taking a Japanese language course."
会長,chairperson,"The chairperson gave the opening speech."
長さ,length,"The length of this cable is one meter."
長男,eldest son,"His eldest son is 8 years old."
長女,eldest daughter,"Our eldest daughter is 10 years old."
アパート,apartment,"He lives in an apartment."
広がる,to expand,"Studying abroad broadened my world."
広さ,size / area,"What is the size of that house?"
全体,whole / entire,"80% of the entire project is completed."
全く,completely,"I completely don't understand it."
レコード,record,"I played a jazz record."
安全,safety,"Safety is the top priority."
一部,part,"Let's change part of the plan."
部分,portion,"This portion has no issues."
国内,domestic,"This cellphone works only domestically."
どんどん,steadily / rapidly,"He kept advancing steadily on the mountain path."
全国,nationwide,"Next is the nationwide weather forecast."
外国,foreign country,"My mother has never been abroad."
国会,parliament,"The parliament has resumed."
帰国,returning to one's country,"He has returned to his country."
カメラ,camera,"The camera broke."
外国人,foreigner,"The number of foreigners living in Japan is increasing."
外国語,foreign language,"Learning a foreign language is difficult."
世界,world,"I want to travel around the world."
白,white,"White is the color of snow."
テープ,tape,"She recorded the conversation on tape."
黒,black,"Do you have a black ballpoint pen?"
赤ちゃん,baby,"The baby is sleeping in the bed."
赤,red,"The traffic light turned red."
ビール,beer,"Beer tastes great in the summer."
銀行,bank,"The bank is open until 3 PM."
銀,silver,"He won the silver medal."
地下鉄,subway,"I commute by subway."
牛肉,beef,"I bought beef for dinner."
ページ,page,"Please open to page 32."
肉,meat,"The meat is cooked."
分野,field / domain,"Music is his area of expertise."
野菜,vegetable,"I eat a lot of vegetables every day."
グラフ,graph,"He put the sales data into a graph."
本屋,bookstore,"There is a bookstore in front of the station."
八百屋,greengrocer,"I bought oranges at the greengrocer's."
そば屋,soba restaurant,"I went to a soba restaurant for lunch."
たばこ屋,tobacco shop,"I bought a lighter at the tobacco shop."
ポスト,postbox,"I put the letter in the postbox."
茶,tea,"We drink tea every day."
お茶,tea,"Shall I make some tea?"
茶わん,teacup,"I served rice in the teacup."
味,taste,"This dish has a bland taste."
テスト,test,"Please start the test."
未来,future,"No one knows the future."
週末,weekend,"I relax at home on weekends."
料理,cooking,"My mother is good at cooking."
無理,impossible / unreasonable,"Please don't overdo it."
無くす,to lose,"I lost my keys today."
無くなる,to disappear / to be gone,"The money is already gone."
作文,composition,"I wrote a composition in Japanese."
用いる,to use,"He expressed his feelings using that poem."
ゴルフ,golf,"My older brother started playing golf."
用事,errand / business,"My father is out on an errand."
交通費,transportation expenses,"The transportation expenses to the office are 8,000 yen per month."
消える,to go out / to disappear,"Suddenly, the lights went out."
消しゴム,eraser,"Please lend me your eraser."
ラジオ,radio,"She is listening to the radio."
売れる,to sell well,"Air conditioners sold well this summer."
売り場,sales floor / counter,"Where is the shoe section?"
店員,store clerk,"That store clerk is very kind."
売店,kiosk,"I bought a magazine at the station kiosk."
タクシー,taxi,"Please call a taxi."
商品,product,"This product sells well."
作品,work / piece,"This painting is a work by Van Gogh."
販売,sales,"Advance tickets are on sale at the counter."
二階,second floor,"My brother is on the second floor."
ゆっくり,slowly,"Please speak more slowly."
段階,stage / level,"At this stage, it's too early to decide."
段々,gradually,"Work is gradually becoming enjoyable."
値段,price,"The price of this belt was 2,500 yen."
レストラン,restaurant,"I had Indian food at the restaurant."
価格,price / cost,"The price of gasoline is steadily increasing."
合格,passing (an exam),"My daughter passed the entrance exam."
夏休み,summer vacation,"Today is the last day of summer vacation."
冬休み,winter vacation,"I'll visit my grandpa's house during winter vacation."
カード,card,"Please pay with a card."
四季,four seasons,"Japan has four seasons."
暑さ,heat,"The heat this summer is severe."
熱,fever / heat,"Last night, I developed a fever."
寒さ,coldness,"Today's cold will be severe."
アルバイト,part-time job,"My older brother has a part-time job."
暖める,to warm / heat,"I'm warming up the car now."
暖まる,to warm up,"The room hasn't warmed up yet."
温度,temperature,"The room temperature is 25 degrees now."
気温,air temperature,"Today's temperature is 26 degrees."
コピー,copy,"Copies of the documents were distributed during the meeting."
台,stand / pedestal,"There is a perfect stand over there."
風,wind,"The wind is strong today."
台風,typhoon,"A typhoon is approaching."
事情,circumstances,"I understand your situation well."
ぶつかる,to collide / hit,"A car collided with a utility pole."
情報,information,"The students gathered various information online."
報告,report,"I have a report about yesterday's meeting."
新聞,newspaper,"Where did you put today's newspaper?"
新年,New Year,"Happy New Year!"
フィルム,film,"I bought a lot of film for the trip."
中心,center,"This is the center of the building."
安心,relief / peace of mind,"I was relieved to hear that."
思い出す,to recall,"I remembered an important task."
デパート,department store,"I bought shoes at the department store."
思い出,memories,"I made fun memories during the trip."
考え,thought / idea,"That's a good idea."
解決,resolution,"The problem was finally resolved."
知らせる,to inform,"I informed everyone about the meeting date."
ベッド,bed,"He is sleeping in bed."
能力,ability / capability,"He is a capable employee."
可能,possible,"Do you think losing 20 kilograms is possible?"
可,acceptable,"This part-time job says 'students accepted.'"
郵便,mail,"The mail arrived just a moment ago."
コート,court / coat,"We played tennis on a new court."
不便,inconvenient,"My house is far from the station and inconvenient."
郵便屋さん,mailman,"Has the mailman already come?"
郵便局,post office,"I bought stamps at the post office."
交番,police box,"Let's ask for directions at that police box."
ノート,notebook,"Please open your notebook."
番地,address / block,"Do you know the address of that building?"
番号,number,"Please call this number."
